km_driven,seats,mileage,engine,max_power,nm,selling_price,fuel
30000,5.0,21.4,1197,83.1,115.0,650000,1
40000,5.0,22.0,1498,108.495,250.0,540000,0
135000,5.0,25.1,1498,98.6,200.0,630000,0
30000,5.0,20.51,998,67.0,90.0,448000,1
80000,5.0,21.66,1498,108.62,250.0,500000,0
70000,5.0,24.3,1248,88.5,200.0,745000,0
9850,5.0,24.3,1248,88.5,200.0,1025000,0
60000,5.0,20.36,1197,78.9,111.7,235000,1
70000,5.0,25.2,1248,74.0,190.0,630000,0
78000,7.0,12.55,2982,168.5,343.0,1700000,0
120000,5.0,22.9,1248,74.0,190.0,450000,0
120000,7.0,16.02,1373,93.7,130.0,450000,1
170000,5.0,20.54,1598,103.6,250.0,450000,0
140000,8.0,12.99,2494,100.6,200.0,1200000,0
90000,5.0,22.77,1498,98.59,205.0,610000,0
30000,5.0,15.71,1998,189.0,280.0,2500000,1
10000,5.0,23.1,998,67.04,90.0,484999,1
49000,5.0,19.02,1198,67.05,104.0,275000,1
32000,5.0,24.7,796,47.3,69.0,315000,1
38000,5.0,24.7,796,47.3,69.0,275000,1
28000,5.0,19.81,1086,68.05,99.04,290000,1
32000,5.0,14.0,796,35.0,59.82,280000,1
42000,5.0,16.47,1198,74.0,110.0,455000,1
45000,5.0,19.81,1086,68.05,99.04,351000,1
12000,5.0,15.04,1598,103.6,153.0,535000,1
55500,5.0,18.2,998,67.1,90.0,175000,1
61500,5.0,18.5,1197,82.85,113.7,525000,1
150000,5.0,26.59,1248,74.0,190.0,600000,0
72000,5.0,19.1,1197,82.0,114.0,565000,1
68000,5.0,19.7,796,46.3,62.0,120000,1
110000,5.0,22.54,1396,88.73,219.7,725000,0
77000,5.0,21.79,998,67.05,90.0,185000,1
100000,5.0,18.8,1248,90.0,200.0,200000,0
10000,5.0,21.21,1197,81.8,113.0,615000,1
100000,7.0,15.37,1196,73.0,101.0,270000,1
35000,5.0,21.4,1197,83.1,115.0,610000,1
70000,8.0,11.79,2179,120.0,290.0,625000,0
5000,5.0,19.0,1194,94.68,120.0,400000,1
37800,5.0,17.0,1591,121.3,151.0,866000,1
114000,5.0,14.3,1798,160.0,250.0,700000,1
48000,5.0,15.8,1172,65.0,96.0,300000,1
32000,7.0,15.1,2179,155.0,360.0,1700000,0
100000,5.0,19.09,1405,69.01,135.0,375000,0
150000,5.0,22.32,1582,126.32,259.8,522000,0
69000,5.0,21.9,1396,88.76,219.6,451999,0
100000,5.0,14.53,1798,138.1,173.0,300000,1
13000,5.0,21.63,998,67.04,90.0,475000,1
60000,5.0,24.3,1248,88.5,200.0,780000,0
40000,5.0,20.85,1197,83.14,115.0,595000,1
35000,5.0,20.51,998,67.04,90.0,440000,1
70000,5.0,20.45,1461,83.8,200.0,400000,0
50000,5.0,19.67,1582,126.2,259.9,1140000,0
76139,5.0,23.0,1498,98.96,205.0,850000,0
175000,5.0,19.3,1248,73.9,190.0,370000,0
25000,5.0,23.01,999,67.0,91.0,350000,1
40000,5.0,23.1,998,67.04,90.0,360000,1
65000,5.0,19.7,796,46.3,62.0,105000,1
90000,7.0,20.77,1248,88.76,200.0,625000,0
80000,5.0,17.92,1086,62.1,96.1,135000,1
110000,7.0,20.77,1248,88.76,200.0,700000,0
1303,5.0,17.8,1198,86.7,109.0,690000,1
31800,5.0,17.01,1968,188.0,400.0,3975000,0
45000,5.0,19.33,1999,177.0,430.0,3200000,0
17000,5.0,9.5,3604,280.0,347.0,4100000,1
21000,7.0,12.83,1999,148.31,382.0,4500000,0
29500,5.0,22.48,1995,187.74,400.0,3790000,0
50000,5.0,14.67,1798,177.46,250.0,1864999,1
35000,5.0,15.0,2143,204.0,500.0,2700000,0
19000,5.0,13.96,1451,141.0,250.0,1750000,1
41000,5.0,18.0,1497,117.6,145.0,795000,1
39000,5.0,14.28,1798,138.03,173.0,625000,1
22000,5.0,18.0,1969,190.0,400.0,3400000,0
53000,7.0,12.07,2967,241.4,550.0,2650000,0
40000,5.0,26.21,1248,88.5,200.0,535000,0
72200,5.0,10.8,2497,150.0,250.0,975000,1
49900,5.0,16.3,1797,147.5,177.5,805000,1
9000,5.0,13.6,1999,177.0,430.0,2625000,0
11000,5.0,17.0,1198,108.5,170.0,811000,1
49000,5.0,15.04,1598,103.6,153.0,375000,1
95000,5.0,16.3,1797,147.5,177.5,550000,1
11000,5.0,14.3,1598,103.5,153.0,645000,1
18000,5.0,15.04,1991,183.0,300.0,2550000,1
46100,7.0,16.02,1373,93.7,130.0,599000,1
16000,5.0,14.74,1991,181.04,300.0,2700000,1
18000,5.0,15.6,1497,116.3,146.0,875000,1
9654,5.0,19.56,1197,81.8,113.0,894999,1
11000,5.0,23.95,998,67.05,90.0,175000,1
24300,5.0,21.21,1197,81.8,113.0,340000,1
42163,7.0,11.36,2755,171.5,360.0,1525000,0
8000,5.0,21.5,1497,108.5,260.0,1025000,0
30000,5.0,22.69,1995,190.0,400.0,2150000,0
41000,5.0,19.16,2494,157.7,213.0,1900000,1
12000,5.0,18.12,1995,190.0,400.0,2900000,0
71000,5.0,12.1,2362,164.7,224.0,450000,1
20000,7.0,17.5,1373,91.1,130.0,850000,1
100000,5.0,20.54,1598,103.6,250.0,300000,0
9500,5.0,18.16,1196,86.8,112.0,575000,1
120000,5.0,20.0,1399,68.0,160.0,160000,0
36600,5.0,20.4,1197,81.8,113.0,515000,1
50000,5.0,20.51,998,67.0,90.0,390000,1
14000,5.0,18.6,1197,81.83,114.7,550000,1
40000,4.0,16.1,796,37.0,59.0,40000,1
120000,5.0,21.1,1248,73.9,113.0,220000,0
70000,5.0,18.9,1197,82.0,114.0,425000,1
13000,5.0,19.44,999,75.0,95.0,480000,1
60000,5.0,18.9,1197,82.0,114.0,400000,1
35000,5.0,19.1,1197,85.8,114.0,487000,1
44000,5.0,19.1,1197,82.0,114.0,386000,1
120000,5.0,13.0,1493,100.0,128.47,100000,1
60000,5.0,21.43,1364,87.2,205.0,300000,0
60000,5.0,18.5,796,53.0,71.0,100000,1
30000,7.0,13.0,2982,168.5,343.0,1750000,0
15000,6.0,18.15,1198,82.0,115.0,450000,1
90000,5.0,22.95,1248,74.0,190.0,490000,0
47000,5.0,17.0,1497,118.0,146.0,345000,1
90000,5.0,17.3,993,60.0,78.0,85000,1
120600,5.0,18.9,998,67.1,90.0,215000,1
100000,5.0,16.2,1599,103.2,146.12,320000,1
60000,5.0,20.85,1197,83.14,115.0,459999,1
86000,5.0,15.3,1341,83.0,115.0,65000,1
5000,5.0,18.6,1197,81.86,117.0,720000,1
37000,5.0,28.09,1248,88.5,200.0,800000,0
14000,5.0,20.3,1199,84.0,114.0,520000,1
70000,7.0,20.77,1248,88.76,200.0,580000,0
50000,5.0,17.4,1497,117.3,145.0,600000,1
60000,5.0,19.4,1198,86.8,109.0,290000,1
50000,5.0,20.85,1197,83.14,115.0,550000,1
70000,5.0,18.5,1197,82.85,113.7,375000,1
35000,5.0,20.51,998,67.0,90.0,420000,1
20000,5.0,21.21,1197,81.8,113.0,550000,1
20000,5.0,24.7,796,47.3,69.0,270000,1
7800,5.0,22.0,1197,81.8,113.0,700000,1
20000,5.0,20.4,1197,81.8,113.0,500000,1
15000,7.0,17.6,2179,147.94,320.0,1250000,0
31377,5.0,18.5,1197,82.85,113.7,320000,1
50000,5.0,28.4,1248,74.02,190.0,700000,0
60000,5.0,20.51,998,67.04,90.0,290000,1
100000,5.0,14.53,1794,138.1,173.0,550000,1
60000,5.0,19.4,1198,86.8,109.0,265000,1
5000,5.0,21.4,1197,83.1,115.0,830000,1
60000,7.0,14.1,2179,147.94,320.0,800000,0
25000,5.0,19.7,796,46.3,62.0,160000,1
30000,5.0,25.17,799,53.3,72.0,335000,1
80000,5.0,20.63,1198,67.0,104.0,329000,1
75000,5.0,24.3,1248,88.5,200.0,775000,0
32000,5.0,20.14,1197,81.86,113.75,524000,1
40000,5.0,22.74,796,47.3,69.0,245000,1
93000,5.0,17.0,1197,80.0,111.8,275000,1
60000,5.0,17.57,1193,88.7,140.0,520000,1
37000,5.0,16.95,1498,97.7,134.0,550000,1
15000,5.0,17.0,1497,121.36,150.0,910000,1
80000,5.0,19.49,1198,67.04,104.0,300000,1
140000,5.0,20.51,998,67.04,90.0,350000,1
70000,7.0,12.83,2696,162.0,340.0,900000,0
120000,7.0,17.21,1493,100.0,240.0,300000,0
110000,5.0,21.1,1248,73.9,190.0,250000,0
37000,5.0,19.67,1582,126.2,259.9,1100000,0
44000,5.0,25.17,799,53.3,72.0,270000,1
80000,7.0,20.77,1248,88.76,200.0,640000,0
125000,7.0,15.1,2179,140.0,330.0,650000,0
13500,5.0,15.37,1196,73.0,101.0,409999,1
75000,5.0,17.92,1086,62.1,96.1,165000,1
120000,5.0,13.2,1495,94.0,122.58,80000,1
120000,7.0,15.1,2179,140.0,330.0,535000,0
70000,7.0,12.99,2494,100.57,200.0,700000,0
70000,5.0,23.4,1248,74.0,190.0,550000,0
15000,5.0,19.0,1199,88.76,110.0,680000,1
53000,5.0,20.36,1197,78.9,111.8,200000,1
120000,5.0,23.4,1248,74.0,190.0,500000,0
70000,7.0,24.52,1248,88.5,200.0,1000000,0
120000,5.0,14.2,1341,82.9,115.72,110000,1
100000,5.0,18.5,1197,80.0,111.8,320000,1
100000,5.0,20.4,1197,83.11,113.0,350000,1
162500,5.0,19.4,1405,70.0,135.4,170000,0
39000,5.0,22.54,1396,88.73,219.7,800000,0
75000,5.0,26.8,1248,74.0,190.0,500000,0
50000,7.0,17.6,2179,153.86,400.0,1380000,0
40000,8.0,17.3,1497,121.0,300.0,1300000,0
92500,5.0,22.32,1582,126.3,259.9,530000,0
158000,5.0,23.4,1248,74.0,190.0,360000,0
120000,5.0,19.3,1248,73.9,190.0,310000,0
50000,5.0,26.0,1498,98.6,200.0,725000,0
110000,5.0,19.3,1248,73.9,190.0,340000,0
2000,5.0,25.4,1186,73.97,190.25,550000,0
181000,7.0,11.5,2982,171.0,343.0,1150000,0
70000,5.0,27.28,1047,69.0,140.0,380000,0
90000,5.0,17.97,1498,99.6,134.0,350000,1
2000,5.0,18.6,1197,81.86,117.0,610000,1
20000,5.0,20.85,1197,83.14,115.0,525000,1
120000,7.0,12.8,2494,102.0,200.06,480000,0
35000,6.0,16.55,2498,105.0,247.0,780000,0
193000,5.0,19.3,1248,73.9,190.0,320000,0
80000,5.0,20.4,1197,81.8,113.0,375000,1
40000,5.0,19.02,1198,67.05,104.0,300000,1
70000,5.0,22.54,1396,88.73,219.7,500000,0
122358,9.0,12.05,2179,120.0,290.0,404000,0
75000,7.0,14.07,2956,69.01,223.0,500000,0
120000,5.0,27.28,1047,69.0,140.0,350000,0
40000,5.0,17.57,1193,88.7,140.0,380000,1
95200,5.0,13.2,1495,94.0,122.58,114999,1
33033,5.0,19.4,1198,86.8,109.0,335000,1
63063,5.0,18.9,1197,82.0,114.0,465000,1
60000,5.0,21.02,1248,88.76,200.0,290000,0
45000,5.0,19.7,796,46.3,62.0,110000,1
80000,7.0,11.57,2179,138.1,320.0,450000,0
170000,7.0,13.6,2523,63.0,180.0,400000,0
207890,7.0,13.6,2523,63.0,180.0,210000,0
7976,5.0,17.9,2143,170.0,400.0,4600000,0
35000,8.0,16.8,796,34.2,59.0,220000,1
35000,5.0,18.9,1197,82.0,114.0,450000,1
35000,5.0,18.9,1197,82.0,114.0,450000,1
50000,5.0,16.95,1197,78.9,111.8,290000,1
20000,5.0,20.4,1197,81.8,113.0,520000,1
20000,5.0,16.95,1197,78.9,111.8,265000,1
50000,5.0,18.6,1197,85.8,114.0,330000,1
50000,5.0,18.6,1197,85.8,114.0,330000,1
120000,7.0,15.96,2523,62.1,195.0,509999,0
70000,5.0,17.1,1591,121.3,154.9,500000,1
50000,5.0,17.19,1197,81.86,114.73,525000,1
16500,5.0,21.01,1197,81.8,113.0,675000,1
70000,5.0,17.0,1197,80.0,111.8,300000,1
99361,5.0,19.7,796,46.3,62.0,90000,1
25000,5.0,26.59,1248,74.0,190.0,650000,0
70000,5.0,19.1,1197,85.8,114.0,409000,1
80000,5.0,24.0,1120,70.0,160.0,395000,0
70000,5.0,19.1,1197,85.8,114.0,400000,1
60000,5.0,18.6,1199,79.4,108.0,120000,1
10000,5.0,20.3,1199,84.0,114.0,645000,1
80000,4.0,16.1,796,37.0,59.0,81000,1
30000,5.0,25.6,1498,97.9,200.0,1300000,0
33000,5.0,25.6,1498,97.9,200.0,1250000,0
90000,7.0,16.02,1373,93.7,130.0,535000,1
80100,5.0,19.01,1461,108.5,248.0,555000,0
120000,5.0,17.4,1497,117.3,145.0,725000,1
40000,5.0,25.17,799,53.3,72.0,229999,1
160000,8.0,12.99,2494,100.6,200.0,800000,0
47000,5.0,20.51,998,67.04,90.0,409999,1
25000,5.0,21.38,1396,88.7,219.7,1210000,0
26000,5.0,23.84,1199,84.0,114.0,400000,1
29000,5.0,24.0,1186,73.97,190.24,520000,0
50000,5.0,21.4,1197,83.1,115.0,650000,1
58000,5.0,16.1,1298,88.2,112.78,325000,1
120000,5.0,17.4,1197,85.8,114.0,420000,1
50000,5.0,20.4,1197,81.8,113.0,400000,1
80000,5.0,17.0,1197,80.0,111.8,254999,1
60000,5.0,17.3,993,60.0,78.0,65000,1
36000,5.0,23.1,998,67.04,90.0,351000,1
120000,8.0,12.8,2494,102.0,200.06,404000,0
185000,5.0,21.1,1248,73.9,190.0,185000,0
50000,5.0,23.08,1461,63.1,160.0,250000,0
100000,5.0,17.3,993,60.0,78.0,60000,1
50000,5.0,17.1,1591,121.3,154.9,500000,1
80000,5.0,18.2,998,67.1,90.0,85000,1
80000,5.0,19.7,796,46.3,62.0,85000,1
90000,5.0,19.3,1248,73.9,190.0,265000,0
162000,5.0,19.0,998,66.1,90.0,130000,1
110000,7.0,20.77,1248,88.76,200.0,480000,0
120000,5.0,17.8,1248,75.0,190.0,170000,0
45000,5.0,23.08,1461,63.1,160.0,275000,0
90000,5.0,18.9,998,67.1,90.0,89000,1
90000,5.0,20.0,1399,68.0,160.0,170000,0
16500,5.0,17.0,1197,110.0,200.0,1090000,1
67000,5.0,17.01,1582,126.2,259.9,1100000,0
52000,5.0,22.0,1197,81.8,113.0,610000,1
40000,5.0,20.63,1198,67.0,104.0,335000,1
40000,5.0,18.9,1197,82.0,114.0,434999,1
35000,7.0,14.24,2755,174.5,420.0,3000000,0
13000,5.0,20.71,799,53.26,72.0,390000,1
40000,5.0,18.5,1198,86.8,109.0,325000,1
10000,5.0,17.0,1198,73.75,110.0,640000,1
9000,5.0,16.95,1498,97.7,134.0,450000,1
70000,5.0,23.59,1364,67.06,170.0,400000,0
60000,5.0,20.36,1197,78.9,111.8,215000,1
40000,5.0,20.45,1461,83.8,200.0,570000,0
93000,7.0,15.1,2179,140.0,330.0,680000,0
80000,7.0,12.8,2494,102.0,200.06,325000,0
50000,5.0,15.64,1193,64.08,100.0,150000,1
68000,5.0,14.5,1797,147.5,177.5,690000,1
25000,5.0,14.84,2143,170.0,400.0,1550000,0
18000,4.0,25.4,624,37.5,51.0,64000,1
120000,5.0,23.08,1461,63.1,160.0,250000,0
35000,5.0,18.9,998,67.1,90.0,65000,1
60000,5.0,26.59,1248,74.0,190.0,550000,0
70000,5.0,20.36,1197,78.9,111.7,140000,1
30000,5.0,25.17,799,53.3,72.0,300000,1
70000,5.0,16.34,1798,189.3,250.0,800000,1
9000,5.0,13.6,1999,177.0,430.0,2625000,0
45000,5.0,19.33,1999,177.0,430.0,3200000,0
110000,7.0,14.1,2179,147.94,320.0,503000,0
20000,5.0,18.0,1969,190.0,400.0,3800000,0
68089,5.0,19.16,2494,157.7,213.0,2000000,1
58343,5.0,21.79,998,67.05,90.0,225000,1
38817,5.0,27.39,1248,74.0,190.0,740000,0
56494,5.0,18.2,1199,88.7,110.0,550000,1
79328,7.0,12.99,2494,100.6,200.0,750000,0
5621,5.0,22.0,1197,81.8,113.0,650000,1
25538,5.0,16.78,1496,88.73,132.0,625000,1
69779,5.0,22.0,1197,81.8,113.0,600000,1
56290,5.0,24.0,1186,73.97,190.24,450000,0
7032,5.0,19.0,1199,88.76,110.0,779000,1
11000,5.0,14.3,1598,103.5,153.0,645000,1
2000,5.0,16.8,1984,150.0,350.0,2475000,0
106000,5.0,20.36,1197,78.9,111.7,150000,1
120000,5.0,11.1,2354,158.8,218.0,500000,1
90000,5.0,26.59,1248,74.0,190.0,480000,0
70000,5.0,22.32,1582,126.32,259.8,535000,0
240000,8.0,12.8,2494,102.0,200.06,250000,0
100000,5.0,21.5,1248,88.8,200.0,300000,0
214000,5.0,13.9,1599,103.2,146.12,340000,1
214000,5.0,16.8,1493,110.0,235.36,340000,0
50000,5.0,22.74,796,47.3,69.0,240000,1
1000,5.0,18.0,1497,117.6,145.0,1085000,1
19000,5.0,28.4,1248,74.02,190.0,750000,0
265000,5.0,17.0,1405,70.0,132.39,95000,0
80000,5.0,23.95,998,67.05,90.0,215000,1
50000,7.0,16.0,2179,140.0,330.0,1290000,0
80000,5.0,20.92,998,67.1,90.0,150000,1
50000,5.0,21.1,814,55.2,74.5,219000,1
100000,5.0,23.84,1199,84.0,114.0,325000,1
120000,5.0,15.1,1196,73.0,101.0,260000,1
9000,5.0,13.6,1999,177.0,430.0,2625000,0
45000,5.0,19.33,1999,177.0,430.0,3200000,0
110000,7.0,14.1,2179,147.94,320.0,503000,0
20000,5.0,18.0,1969,190.0,400.0,3800000,0
68089,5.0,19.16,2494,157.7,213.0,2000000,1
58343,5.0,21.79,998,67.05,90.0,225000,1
38817,5.0,27.39,1248,74.0,190.0,740000,0
56494,5.0,18.2,1199,88.7,110.0,550000,1
79328,7.0,12.99,2494,100.6,200.0,750000,0
5621,5.0,22.0,1197,81.8,113.0,650000,1
25538,5.0,16.78,1496,88.73,132.0,625000,1
69779,5.0,22.0,1197,81.8,113.0,600000,1
56290,5.0,24.0,1186,73.97,190.24,450000,0
7032,5.0,19.0,1199,88.76,110.0,779000,1
11000,5.0,14.3,1598,103.5,153.0,645000,1
2000,5.0,16.8,1984,150.0,350.0,2475000,0
40000,5.0,23.8,1498,78.9,160.0,700000,0
45000,5.0,21.38,1396,88.7,219.7,950000,0
80000,5.0,19.7,796,46.3,62.0,160000,1
135000,5.0,24.4,1120,71.01,180.4,409999,0
120000,7.0,12.99,2494,100.6,200.0,840000,0
67000,5.0,23.59,1364,67.1,170.0,450000,0
50000,5.0,28.4,1248,74.02,190.0,900000,0
134000,7.0,12.8,2494,102.0,200.06,570000,0
110000,5.0,23.08,1461,63.1,160.0,254999,0
40000,4.0,16.1,796,37.0,59.0,130000,1
120000,5.0,23.4,1248,74.0,190.0,530000,0
110000,5.0,20.14,1498,88.8,230.0,520000,0
170000,5.0,21.0,1461,64.1,160.0,229999,0
80000,4.0,16.1,796,37.0,59.0,81000,1
47000,5.0,25.2,1248,74.0,190.0,600000,0
93000,5.0,19.1,1197,81.86,113.75,409999,1
70000,4.0,16.1,796,37.0,59.0,120000,1
50000,5.0,23.1,998,67.04,90.0,320000,1
70000,5.0,20.0,1399,68.05,160.0,292000,0
80000,7.0,13.93,2179,138.03,320.0,390000,0
44000,5.0,18.16,1196,86.8,112.0,550000,1
25000,5.0,23.1,998,67.04,90.0,385000,1
25000,5.0,15.29,1591,121.3,151.0,800000,1
10000,5.0,21.21,1197,81.8,113.0,675000,1
50000,7.0,17.6,2179,153.86,400.0,1525000,0
30000,5.0,23.0,1498,98.96,205.0,950000,0
50000,5.0,21.19,1396,88.73,219.66,610000,0
120000,5.0,22.54,1396,88.73,219.7,525000,0
40000,5.0,23.8,1498,78.9,160.0,700000,0
80000,7.0,15.96,2523,62.1,195.0,375000,0
90000,5.0,20.45,1461,83.8,200.0,580000,0
50000,5.0,20.4,1197,83.11,115.0,434999,1
2136,5.0,22.5,999,67.0,91.0,350000,1
250000,7.0,12.99,2494,100.0,200.0,730000,0
35000,5.0,18.6,1197,81.83,114.7,600000,1
120000,7.0,12.99,2494,100.6,200.0,1050000,0
70000,5.0,27.39,1248,74.0,190.0,735000,0
18000,5.0,19.6,1461,108.45,245.0,1050000,0
110000,7.0,18.2,1248,73.74,172.5,420000,0
60000,5.0,23.65,1248,88.5,200.0,800000,0
60000,7.0,12.55,2982,168.5,360.0,2000000,0
147000,5.0,26.59,1248,74.0,190.0,600000,0
130000,7.0,12.55,2982,168.5,360.0,1900000,0
99500,7.0,11.5,1991,147.9,320.0,500000,0
110000,5.0,17.0,1405,71.0,135.0,200000,0
35000,5.0,19.49,1198,67.04,104.0,370000,1
110000,5.0,16.2,1493,110.0,235.36,260000,0
100000,6.0,25.32,1198,77.0,190.0,280000,0
21000,7.0,16.02,1373,93.7,130.0,610000,1
60000,5.0,23.5,1498,90.0,204.0,300000,0
40000,5.0,16.6,1405,70.0,140.24,140000,0
50000,5.0,19.81,1086,68.05,99.04,229999,1
65000,5.0,19.0,998,66.1,90.0,200000,1
80000,5.0,18.9,998,67.1,90.0,200000,1
119000,5.0,23.9,1582,126.2,259.9,560000,0
80000,7.0,24.52,1248,88.5,200.0,750000,0
90000,5.0,25.2,1248,74.0,190.0,585000,0
20000,5.0,17.01,1591,121.4,154.9,760000,1
80000,5.0,25.2,1248,74.0,190.0,430000,0
44665,6.0,25.32,1198,77.0,190.0,480000,0
10000,5.0,20.8,1493,113.4,250.0,643000,0
60000,5.0,20.14,1197,81.86,113.75,500000,1
22000,5.0,18.5,1198,86.8,109.0,425000,1
25000,5.0,22.74,796,47.3,69.0,250000,1
70000,5.0,27.62,793,47.0,125.0,285000,0
123000,5.0,17.5,1298,85.8,114.0,160000,1
70000,5.0,20.54,1598,103.6,250.0,250000,0
70000,5.0,18.6,1199,79.4,108.0,170000,1
45000,5.0,23.59,1364,67.06,170.0,409999,0
40000,5.0,18.9,1197,82.0,114.0,400000,1
30000,5.0,28.4,1248,74.02,190.0,700000,0
90000,5.0,12.9,1799,130.0,172.0,350000,1
34000,7.0,17.5,1373,91.1,130.0,660000,1
25000,5.0,24.7,796,47.3,69.0,268000,1
50000,5.0,22.74,796,47.3,69.0,270000,1
50000,5.0,25.44,936,57.6,150.0,300000,0
90000,5.0,23.84,1199,84.0,114.0,450000,1
70000,5.0,25.44,936,57.6,150.0,220000,0
146000,7.0,13.93,2179,138.0,320.0,250000,0
85000,5.0,15.6,1196,70.0,102.0,300000,1
201850,5.0,17.88,1396,52.8,85.0,88000,0
30000,5.0,26.59,1248,74.0,190.0,561000,0
15000,5.0,28.4,1248,74.02,190.0,755000,0
25000,5.0,22.7,799,53.64,72.0,235000,1
90000,5.0,20.92,998,67.1,90.0,165000,1
80000,5.0,19.3,1248,73.9,190.0,190000,0
50000,5.0,17.2,1396,53.5,83.36,110000,0
80000,8.0,13.6,2523,63.0,180.0,320000,0
38000,5.0,18.6,1197,81.83,114.7,540000,1
60000,5.0,21.1,814,55.2,74.5,180000,1
100000,7.0,15.37,1196,73.0,101.0,270000,1
30000,5.0,17.5,1197,85.8,114.0,450000,1
30000,5.0,19.1,1197,85.8,114.0,450000,1
50000,5.0,18.6,1199,76.8,106.5,200000,1
42000,5.0,23.84,1199,84.0,114.0,425000,1
30000,5.0,18.2,1199,82.4,108.5,400000,1
60000,5.0,19.7,796,46.3,62.0,125000,1
14000,5.0,17.1,1956,170.0,350.0,1600000,0
22000,5.0,17.4,1497,117.3,145.0,900000,1
90000,5.0,20.54,1598,103.6,250.0,450000,0
46000,5.0,20.92,998,67.1,90.0,210000,1
20000,5.0,18.6,1197,81.83,114.7,801000,1
15000,7.0,15.42,1405,70.0,135.0,317000,0
40000,7.0,16.02,1373,93.7,130.0,600000,1
30000,5.0,18.5,1197,82.85,113.7,330000,1
15000,5.0,21.1,814,55.2,74.5,320000,1
110000,5.0,15.3,1341,83.0,115.0,120000,1
70000,5.0,19.7,796,46.3,62.0,130000,1
80000,5.0,18.2,1199,82.4,108.5,220000,1
110000,5.0,17.57,1193,88.7,140.0,340000,1
70000,5.0,19.68,1399,67.0,160.0,200000,0
50000,5.0,19.7,796,46.3,62.0,140000,1
190000,8.0,12.99,2494,100.6,200.0,1000000,0
100000,7.0,13.6,2523,63.0,180.0,495000,0
60000,5.0,22.74,796,47.3,69.0,236000,1
40000,5.0,20.51,998,67.04,90.0,390000,1
90000,5.0,19.3,1248,73.9,190.0,275000,0
110000,7.0,14.1,2179,147.94,320.0,503000,0
