brand,year,km_driven,fuel,transmission,seller_type,owner,seats,mileage,engine,max_power,nm,selling_price
Volkswagen,2012,12000,Petrol,Manual,Dealer,Second Owner,5.0,15.04,1598,103.6,153.0,535000
Maruti,2009,55500,Petrol,Manual,Dealer,First Owner,5.0,18.2,998,67.1,90.0,175000
Hyundai,2013,61500,Petrol,Manual,Dealer,First Owner,5.0,18.5,1197,82.85,113.7,525000
Maruti,2016,150000,Diesel,Manual,Individual,First Owner,5.0,26.59,1248,74.0,190.0,600000
Hyundai,2016,72000,Petrol,Automatic,Dealer,First Owner,5.0,19.1,1197,82.0,114.0,565000
Maruti,2008,68000,Petrol,Manual,Dealer,Third Owner,5.0,19.7,796,46.3,62.0,120000
Hyundai,2017,110000,Diesel,Manual,Individual,First Owner,5.0,22.54,1396,88.73,219.7,725000
Maruti,2009,77000,Petrol,Manual,Dealer,Second Owner,5.0,21.79,998,67.05,90.0,185000
Tata,2010,100000,Diesel,Manual,Individual,Second Owner,5.0,18.8,1248,90.0,200.0,200000
Maruti,2019,10000,Petrol,Manual,Individual,First Owner,5.0,21.21,1197,81.8,113.0,615000
Maruti,2016,100000,Petrol,Manual,Individual,Third Owner,7.0,15.37,1196,73.0,101.0,270000
Maruti,2018,35000,Petrol,Manual,Individual,First Owner,5.0,21.4,1197,83.1,115.0,610000
Mahindra,2014,70000,Diesel,Automatic,Individual,Second Owner,8.0,11.79,2179,120.0,290.0,625000
Ford,2020,5000,Petrol,Manual,Individual,Second Owner,5.0,19.0,1194,94.68,120.0,400000
Hyundai,2017,37800,Petrol,Manual,Individual,First Owner,5.0,17.0,1591,121.3,151.0,866000
Volkswagen,2010,114000,Petrol,Manual,Individual,First Owner,5.0,14.3,1798,160.0,250.0,700000
Tata,2010,48000,Petrol,Manual,Individual,First Owner,5.0,15.8,1172,65.0,96.0,300000
Mahindra,2019,32000,Diesel,Manual,Individual,First Owner,7.0,15.1,2179,155.0,360.0,1700000
Tata,2016,100000,Diesel,Manual,Individual,First Owner,5.0,19.09,1405,69.01,135.0,375000
Hyundai,2013,150000,Diesel,Manual,Individual,Second Owner,5.0,22.32,1582,126.32,259.8,522000
Hyundai,2013,69000,Diesel,Manual,Individual,First Owner,5.0,21.9,1396,88.76,219.6,451999
Toyota,2009,100000,Petrol,Manual,Individual,Second Owner,5.0,14.53,1798,138.1,173.0,300000
Maruti,2020,13000,Petrol,Manual,Individual,First Owner,5.0,21.63,998,67.04,90.0,475000
Maruti,2016,60000,Diesel,Manual,Individual,First Owner,5.0,24.3,1248,88.5,200.0,780000
Maruti,2017,40000,Petrol,Manual,Individual,First Owner,5.0,20.85,1197,83.14,115.0,595000
Maruti,2017,35000,Petrol,Manual,Individual,First Owner,5.0,20.51,998,67.04,90.0,440000
Nissan,2014,70000,Diesel,Manual,Individual,Third Owner,5.0,20.45,1461,83.8,200.0,400000
Hyundai,2016,50000,Diesel,Manual,Individual,First Owner,5.0,19.67,1582,126.2,259.9,1140000
Ford,2017,76139,Diesel,Manual,Individual,First Owner,5.0,23.0,1498,98.96,205.0,850000
Maruti,2012,175000,Diesel,Manual,Individual,Fourth & Above Owner,5.0,19.3,1248,73.9,190.0,370000
Renault,2018,25000,Petrol,Manual,Individual,First Owner,5.0,23.01,999,67.0,91.0,350000
Maruti,2015,40000,Petrol,Manual,Individual,Second Owner,5.0,23.1,998,67.04,90.0,360000
Maruti,2008,65000,Petrol,Manual,Individual,Fourth & Above Owner,5.0,19.7,796,46.3,62.0,105000
Maruti,2013,90000,Diesel,Manual,Individual,Second Owner,7.0,20.77,1248,88.76,200.0,625000
Hyundai,2009,80000,Petrol,Manual,Individual,Second Owner,5.0,17.92,1086,62.1,96.1,135000
Maruti,2015,110000,Diesel,Manual,Individual,Second Owner,7.0,20.77,1248,88.76,200.0,700000
Honda,2019,1303,Petrol,Manual,Dealer,First Owner,5.0,17.8,1198,86.7,109.0,690000
Audi,2018,31800,Diesel,Automatic,Dealer,First Owner,5.0,17.01,1968,188.0,400.0,3975000
Jaguar,2017,45000,Diesel,Automatic,Dealer,First Owner,5.0,19.33,1999,177.0,430.0,3200000
Jeep,2017,17000,Petrol,Automatic,Individual,First Owner,5.0,9.5,3604,280.0,347.0,4100000
Land,2019,21000,Diesel,Automatic,Dealer,First Owner,7.0,12.83,1999,148.31,382.0,4500000
BMW,2018,29500,Diesel,Automatic,Dealer,First Owner,5.0,22.48,1995,187.74,400.0,3790000
Skoda,2018,50000,Petrol,Automatic,Dealer,First Owner,5.0,14.67,1798,177.46,250.0,1864999
Mercedes-Benz,2016,35000,Diesel,Automatic,Dealer,First Owner,5.0,15.0,2143,204.0,500.0,2700000
MG,2019,19000,Petrol,Automatic,Dealer,First Owner,5.0,13.96,1451,141.0,250.0,1750000
Honda,2017,41000,Petrol,Automatic,Dealer,First Owner,5.0,18.0,1497,117.6,145.0,795000
Toyota,2013,39000,Petrol,Automatic,Dealer,First Owner,5.0,14.28,1798,138.03,173.0,625000
Volvo,2018,22000,Diesel,Automatic,Dealer,First Owner,5.0,18.0,1969,190.0,400.0,3400000
Audi,2015,53000,Diesel,Automatic,Dealer,First Owner,7.0,12.07,2967,241.4,550.0,2650000
Maruti,2015,40000,Diesel,Manual,Dealer,First Owner,5.0,26.21,1248,88.5,200.0,535000
BMW,2010,72200,Petrol,Automatic,Dealer,Second Owner,5.0,10.8,2497,150.0,250.0,975000
Hyundai,2016,49900,Petrol,Manual,Dealer,First Owner,5.0,16.3,1797,147.5,177.5,805000
Jaguar,2017,9000,Diesel,Automatic,Dealer,First Owner,5.0,13.6,1999,177.0,430.0,2625000
Tata,2018,11000,Petrol,Manual,Dealer,First Owner,5.0,17.0,1198,108.5,170.0,811000
Volkswagen,2011,49000,Petrol,Manual,Individual,First Owner,5.0,15.04,1598,103.6,153.0,375000
Hyundai,2012,95000,Petrol,Manual,Individual,First Owner,5.0,16.3,1797,147.5,177.5,550000
Skoda,2016,11000,Petrol,Automatic,Dealer,First Owner,5.0,14.3,1598,103.5,153.0,645000
Mercedes-Benz,2018,18000,Petrol,Automatic,Dealer,First Owner,5.0,15.04,1991,183.0,300.0,2550000
Maruti,2014,46100,Petrol,Manual,Dealer,First Owner,7.0,16.02,1373,93.7,130.0,599000
Mercedes-Benz,2017,16000,Petrol,Automatic,Dealer,First Owner,5.0,14.74,1991,181.04,300.0,2700000
Honda,2017,18000,Petrol,Automatic,Dealer,First Owner,5.0,15.6,1497,116.3,146.0,875000
Toyota,2019,9654,Petrol,Automatic,Dealer,First Owner,5.0,19.56,1197,81.8,113.0,894999
Maruti,2011,11000,Petrol,Manual,Dealer,First Owner,5.0,23.95,998,67.05,90.0,175000
Maruti,2012,24300,Petrol,Manual,Dealer,First Owner,5.0,21.21,1197,81.8,113.0,340000
Toyota,2016,42163,Diesel,Automatic,Dealer,Second Owner,7.0,11.36,2755,171.5,360.0,1525000
Tata,2018,8000,Diesel,Automatic,Dealer,First Owner,5.0,21.5,1497,108.5,260.0,1025000
BMW,2016,30000,Diesel,Automatic,Dealer,First Owner,5.0,22.69,1995,190.0,400.0,2150000
Toyota,2016,41000,Petrol,Automatic,Dealer,First Owner,5.0,19.16,2494,157.7,213.0,1900000
BMW,2016,12000,Diesel,Automatic,Dealer,First Owner,5.0,18.12,1995,190.0,400.0,2900000
Toyota,2009,71000,Petrol,Automatic,Dealer,First Owner,5.0,12.1,2362,164.7,224.0,450000
Maruti,2016,20000,Petrol,Manual,Individual,First Owner,7.0,17.5,1373,91.1,130.0,850000
Volkswagen,2011,100000,Diesel,Manual,Individual,Second Owner,5.0,20.54,1598,103.6,250.0,300000
Ford,2018,9500,Petrol,Manual,Individual,First Owner,5.0,18.16,1196,86.8,112.0,575000
Ford,2011,120000,Diesel,Manual,Individual,First Owner,5.0,20.0,1399,68.0,160.0,160000
Maruti,2015,36600,Petrol,Manual,Individual,First Owner,5.0,20.4,1197,81.8,113.0,515000
Maruti,2015,50000,Petrol,Automatic,Individual,Second Owner,5.0,20.51,998,67.0,90.0,390000
Hyundai,2016,14000,Petrol,Manual,Individual,Second Owner,5.0,18.6,1197,81.83,114.7,550000
Maruti,1999,40000,Petrol,Manual,Individual,Second Owner,4.0,16.1,796,37.0,59.0,40000
Maruti,2010,120000,Diesel,Manual,Individual,First Owner,5.0,21.1,1248,73.9,113.0,220000
Hyundai,2015,70000,Petrol,Manual,Individual,First Owner,5.0,18.9,1197,82.0,114.0,425000
Volkswagen,2019,13000,Petrol,Manual,Individual,First Owner,5.0,19.44,999,75.0,95.0,480000
Hyundai,2014,60000,Petrol,Manual,Individual,Second Owner,5.0,18.9,1197,82.0,114.0,400000
Maruti,2014,35000,Petrol,Manual,Individual,First Owner,5.0,19.1,1197,85.8,114.0,487000
Hyundai,2016,44000,Petrol,Manual,Individual,Second Owner,5.0,19.1,1197,82.0,114.0,386000
Honda,2005,120000,Petrol,Manual,Individual,Second Owner,5.0,13.0,1493,100.0,128.47,100000
Toyota,2010,60000,Diesel,Manual,Individual,First Owner,5.0,21.43,1364,87.2,205.0,300000
Daewoo,2000,60000,Petrol,Manual,Individual,First Owner,5.0,18.5,796,53.0,71.0,100000
Toyota,2014,30000,Diesel,Manual,Individual,Second Owner,7.0,13.0,2982,168.5,343.0,1750000
Mahindra,2016,15000,Petrol,Manual,Individual,Second Owner,6.0,18.15,1198,82.0,115.0,450000
Tata,2017,90000,Diesel,Manual,Individual,First Owner,5.0,22.95,1248,74.0,190.0,490000
Honda,2009,47000,Petrol,Manual,Individual,Second Owner,5.0,17.0,1497,118.0,146.0,345000
Maruti,2005,90000,Petrol,Manual,Individual,First Owner,5.0,17.3,993,60.0,78.0,85000
Maruti,2010,120600,Petrol,Manual,Individual,Second Owner,5.0,18.9,998,67.1,90.0,215000
Hyundai,2010,100000,Petrol,Manual,Individual,Third Owner,5.0,16.2,1599,103.2,146.12,320000
Maruti,2016,60000,Petrol,Manual,Individual,Second Owner,5.0,20.85,1197,83.14,115.0,459999
Hyundai,2005,86000,Petrol,Manual,Individual,First Owner,5.0,15.3,1341,83.0,115.0,65000
Hyundai,2020,5000,Petrol,Manual,Individual,First Owner,5.0,18.6,1197,81.86,117.0,720000
Maruti,2017,37000,Diesel,Manual,Individual,First Owner,5.0,28.09,1248,88.5,200.0,800000
Tata,2019,14000,Petrol,Manual,Individual,First Owner,5.0,20.3,1199,84.0,114.0,520000
Maruti,2015,70000,Diesel,Manual,Individual,First Owner,7.0,20.77,1248,88.76,200.0,580000
Honda,2015,50000,Petrol,Manual,Individual,First Owner,5.0,17.4,1497,117.3,145.0,600000
Honda,2014,60000,Petrol,Manual,Individual,Second Owner,5.0,19.4,1198,86.8,109.0,290000
Maruti,2017,50000,Petrol,Manual,Individual,First Owner,5.0,20.85,1197,83.14,115.0,550000
Hyundai,2013,70000,Petrol,Manual,Individual,First Owner,5.0,18.5,1197,82.85,113.7,375000
Maruti,2018,35000,Petrol,Automatic,Individual,First Owner,5.0,20.51,998,67.0,90.0,420000
Maruti,2017,20000,Petrol,Manual,Individual,First Owner,5.0,21.21,1197,81.8,113.0,550000
Maruti,2018,20000,Petrol,Manual,Individual,First Owner,5.0,24.7,796,47.3,69.0,270000
Maruti,2018,7800,Petrol,Automatic,Individual,First Owner,5.0,22.0,1197,81.8,113.0,700000
Maruti,2017,20000,Petrol,Manual,Individual,First Owner,5.0,20.4,1197,81.8,113.0,500000
Tata,2019,15000,Diesel,Manual,Individual,First Owner,7.0,17.6,2179,147.94,320.0,1250000
Hyundai,2013,31377,Petrol,Manual,Individual,Second Owner,5.0,18.5,1197,82.85,113.7,320000
Maruti,2018,50000,Diesel,Manual,Individual,First Owner,5.0,28.4,1248,74.02,190.0,700000
Maruti,2015,60000,Petrol,Manual,Individual,First Owner,5.0,20.51,998,67.04,90.0,290000
Toyota,2012,100000,Petrol,Automatic,Individual,First Owner,5.0,14.53,1794,138.1,173.0,550000
Honda,2012,60000,Petrol,Manual,Individual,First Owner,5.0,19.4,1198,86.8,109.0,265000
Maruti,2018,5000,Petrol,Automatic,Individual,First Owner,5.0,21.4,1197,83.1,115.0,830000
Tata,2017,60000,Diesel,Manual,Individual,First Owner,7.0,14.1,2179,147.94,320.0,800000
Maruti,2011,25000,Petrol,Manual,Individual,Second Owner,5.0,19.7,796,46.3,62.0,160000
Renault,2018,30000,Petrol,Manual,Individual,First Owner,5.0,25.17,799,53.3,72.0,335000
Datsun,2017,80000,Petrol,Manual,Individual,Second Owner,5.0,20.63,1198,67.0,104.0,329000
Maruti,2017,75000,Diesel,Manual,Individual,First Owner,5.0,24.3,1248,88.5,200.0,775000
Hyundai,2020,32000,Petrol,Manual,Individual,First Owner,5.0,20.14,1197,81.86,113.75,524000
Maruti,2015,40000,Petrol,Manual,Individual,First Owner,5.0,22.74,796,47.3,69.0,245000
Hyundai,2012,93000,Petrol,Manual,Individual,Second Owner,5.0,17.0,1197,80.0,111.8,275000
Tata,2018,60000,Petrol,Manual,Individual,First Owner,5.0,17.57,1193,88.7,140.0,520000
Nissan,2014,37000,Petrol,Manual,Individual,First Owner,5.0,16.95,1498,97.7,134.0,550000
Ford,2018,15000,Petrol,Manual,Individual,First Owner,5.0,17.0,1497,121.36,150.0,910000
Nissan,2015,80000,Petrol,Manual,Individual,First Owner,5.0,19.49,1198,67.04,104.0,300000
Maruti,2016,140000,Petrol,Manual,Individual,First Owner,5.0,20.51,998,67.04,90.0,350000
Mahindra,2013,70000,Diesel,Manual,Individual,First Owner,7.0,12.83,2696,162.0,340.0,900000
Mahindra,2013,120000,Diesel,Manual,Individual,Second Owner,7.0,17.21,1493,100.0,240.0,300000
Maruti,2010,110000,Diesel,Manual,Individual,Second Owner,5.0,21.1,1248,73.9,190.0,250000
Hyundai,2017,37000,Diesel,Manual,Individual,First Owner,5.0,19.67,1582,126.2,259.9,1100000
Renault,2016,44000,Petrol,Manual,Individual,First Owner,5.0,25.17,799,53.3,72.0,270000
Maruti,2015,80000,Diesel,Manual,Individual,First Owner,7.0,20.77,1248,88.76,200.0,640000
Mahindra,2015,125000,Diesel,Manual,Individual,First Owner,7.0,15.1,2179,140.0,330.0,650000
Maruti,2017,13500,Petrol,Manual,Individual,First Owner,5.0,15.37,1196,73.0,101.0,409999
Hyundai,2011,75000,Petrol,Manual,Individual,First Owner,5.0,17.92,1086,62.1,96.1,165000
Hyundai,2007,120000,Petrol,Manual,Individual,Second Owner,5.0,13.2,1495,94.0,122.58,80000
Mahindra,2012,120000,Diesel,Manual,Individual,First Owner,7.0,15.1,2179,140.0,330.0,535000
Toyota,2013,70000,Diesel,Manual,Individual,First Owner,7.0,12.99,2494,100.57,200.0,700000
Maruti,2013,70000,Diesel,Manual,Individual,First Owner,5.0,23.4,1248,74.0,190.0,550000
Honda,2019,15000,Petrol,Automatic,Individual,First Owner,5.0,19.0,1199,88.76,110.0,680000
Hyundai,2009,53000,Petrol,Manual,Individual,Second Owner,5.0,20.36,1197,78.9,111.8,200000
Maruti,2014,120000,Diesel,Manual,Individual,Second Owner,5.0,23.4,1248,74.0,190.0,500000
Maruti,2016,70000,Diesel,Manual,Individual,First Owner,7.0,24.52,1248,88.5,200.0,1000000
Hyundai,2008,120000,Petrol,Manual,Individual,Second Owner,5.0,14.2,1341,82.9,115.72,110000
Hyundai,2012,100000,Petrol,Manual,Individual,Second Owner,5.0,18.5,1197,80.0,111.8,320000
Maruti,2015,100000,Petrol,Manual,Individual,First Owner,5.0,20.4,1197,83.11,113.0,350000
Tata,2013,162500,Diesel,Manual,Individual,First Owner,5.0,19.4,1405,70.0,135.4,170000
Hyundai,2017,39000,Diesel,Manual,Individual,First Owner,5.0,22.54,1396,88.73,219.7,800000
Maruti,2017,75000,Diesel,Manual,Individual,First Owner,5.0,26.8,1248,74.0,190.0,500000
Tata,2017,50000,Diesel,Automatic,Individual,First Owner,7.0,17.6,2179,153.86,400.0,1380000
Mahindra,2019,40000,Diesel,Manual,Individual,First Owner,8.0,17.3,1497,121.0,300.0,1300000
Hyundai,2013,92500,Diesel,Manual,Individual,First Owner,5.0,22.32,1582,126.3,259.9,530000
Maruti,2012,158000,Diesel,Manual,Individual,First Owner,5.0,23.4,1248,74.0,190.0,360000
Maruti,2012,120000,Diesel,Manual,Individual,First Owner,5.0,19.3,1248,73.9,190.0,310000
Honda,2015,50000,Diesel,Manual,Individual,Second Owner,5.0,26.0,1498,98.6,200.0,725000
Maruti,2012,110000,Diesel,Manual,Individual,First Owner,5.0,19.3,1248,73.9,190.0,340000
Hyundai,2017,2000,Diesel,Manual,Individual,Second Owner,5.0,25.4,1186,73.97,190.25,550000
Toyota,2011,181000,Diesel,Manual,Individual,Second Owner,7.0,11.5,2982,171.0,343.0,1150000
Tata,2016,70000,Diesel,Manual,Individual,First Owner,5.0,27.28,1047,69.0,140.0,380000
Nissan,2013,90000,Petrol,Automatic,Individual,Second Owner,5.0,17.97,1498,99.6,134.0,350000
Hyundai,2019,2000,Petrol,Manual,Individual,First Owner,5.0,18.6,1197,81.86,117.0,610000
Maruti,2015,20000,Petrol,Manual,Individual,First Owner,5.0,20.85,1197,83.14,115.0,525000
Toyota,2011,120000,Diesel,Manual,Individual,First Owner,7.0,12.8,2494,102.0,200.06,480000
Mahindra,2017,35000,Diesel,Manual,Individual,First Owner,6.0,16.55,2498,105.0,247.0,780000
Maruti,2012,193000,Diesel,Manual,Individual,First Owner,5.0,19.3,1248,73.9,190.0,320000
Maruti,2014,80000,Petrol,Manual,Individual,First Owner,5.0,20.4,1197,81.8,113.0,375000
Datsun,2019,40000,Petrol,Manual,Individual,First Owner,5.0,19.02,1198,67.05,104.0,300000
Hyundai,2015,70000,Diesel,Manual,Individual,Fourth & Above Owner,5.0,22.54,1396,88.73,219.7,500000
Mahindra,2011,122358,Diesel,Manual,Individual,First Owner,9.0,12.05,2179,120.0,290.0,404000
Tata,2015,75000,Diesel,Manual,Individual,First Owner,7.0,14.07,2956,69.01,223.0,500000
Tata,2017,120000,Diesel,Manual,Individual,First Owner,5.0,27.28,1047,69.0,140.0,350000
Tata,2015,40000,Petrol,Manual,Individual,First Owner,5.0,17.57,1193,88.7,140.0,380000
Hyundai,2008,95200,Petrol,Manual,Individual,Third Owner,5.0,13.2,1495,94.0,122.58,114999
Honda,2014,33033,Petrol,Manual,Dealer,First Owner,5.0,19.4,1198,86.8,109.0,335000
Hyundai,2015,63063,Petrol,Automatic,Dealer,First Owner,5.0,18.9,1197,82.0,114.0,465000
Tata,2012,60000,Diesel,Manual,Individual,First Owner,5.0,21.02,1248,88.76,200.0,290000
Maruti,2005,45000,Petrol,Manual,Individual,Second Owner,5.0,19.7,796,46.3,62.0,110000
Tata,2011,80000,Diesel,Manual,Individual,Third Owner,7.0,11.57,2179,138.1,320.0,450000
